year mo dy flow_cfs
1931 07 12 1480
1931 07 13 1440
1931 07 14 1390
1931 07 15 1350
1931 07 16 1310
1931 07 17 1230
1931 07 18 1190
1931 07 19 1150
1931 07 20 1110
1931 07 21 1070
1931 07 22 1040
1931 07 23 999
1931 07 24 963
1931 07 25 928
1931 07 26 893
1931 07 27 866
1931 07 28 839
1931 07 29 825
1931 07 30 866
1931 07 31 886
1931 08 01 928
1931 08 02 893
1931 08 03 852
1931 08 04 799
1931 08 05 708
1931 08 06 746
1931 08 07 721
1931 08 08 708
1931 08 09 695
1931 08 10 689
1931 08 11 658
1931 08 12 640
1931 08 13 628
1931 08 14 611
1931 08 15 599
1931 08 16 593
1931 08 17 582
1931 08 18 565
1931 08 19 554
1931 08 20 542
1931 08 21 542
1931 08 22 526
1931 08 23 515
1931 08 24 504
1931 08 25 482
1931 08 26 477
1931 08 27 509
1931 08 28 493
1931 08 29 477
1931 08 30 466
1931 08 31 456
1931 09 01 450
1931 09 02 440
1931 09 03 424
1931 09 04 419
1931 09 05 414
1931 09 06 409
1931 09 07 409
1931 09 08 477
1931 09 09 664
1931 09 10 646
1931 09 11 658
1931 09 12 683
1931 09 13 766
1931 09 14 893
1931 09 15 839
1931 09 16 832
1931 09 17 759
1931 09 18 733
1931 09 19 727
1931 09 20 733
1931 09 21 832
1931 09 22 845
1931 09 23 866
1931 09 24 859
1931 09 25 845
1931 09 26 859
1931 09 27 832
1931 09 28 825
1931 09 29 805
1931 09 30 785
1931 10 01 766
1931 10 02 740
1931 10 03 721
1931 10 04 695
1931 10 05 740
1931 10 06 766
1931 10 07 740
1931 10 08 695
1931 10 09 671
1931 10 10 658
1931 10 11 634
1931 10 12 611
1931 10 13 605
1931 10 14 582
1931 10 15 570
1931 10 16 554
1931 10 17 542
1931 10 18 531
1931 10 19 520
1931 10 20 515
1931 10 21 509
1931 10 22 515
1931 10 23 531
1931 10 24 548
1931 10 25 559
1931 10 26 622
1931 10 27 605
1931 10 28 588
1931 10 29 599
1931 10 30 576
1931 10 31 565
1931 11 01 559
1931 11 02 576
1931 11 03 605
1931 11 04 634
1931 11 05 640
1931 11 06 640
1931 11 07 825
1931 11 08 1150
1931 11 09 1270
1931 11 10 1230
1931 11 11 1190
1931 11 12 1110
1931 11 13 1070
1931 11 14 1040
1931 11 15 963
1931 11 16 963
1931 11 17 963
1931 11 18 963
1931 11 19 928
1931 11 20 893
1931 11 21 818
1931 11 22 695
1931 11 23 640
1931 11 24 759
1931 11 25 658
1931 11 26 617
1931 11 27 599
1931 11 28 634
1931 11 29 520
1931 11 30 450
1931 12 01 531
1931 12 02 634
1931 12 03 727
1931 12 04 799
1931 12 05 879
1931 12 06 928
1931 12 07 963
1931 12 08 1040
1931 12 09 1110
1931 12 10 1150
1931 12 11 1040
1931 12 12 839
1931 12 13 812
1931 12 14 695
